"FIRST_NAME","LAST_NAME","SALARY","DEPARTMENT_NAME","CITY","STATE_PROVINCE","COUNTRY_NAME","REGION_NAME"
"Jennifer","Dilly",3600,"Shipping","South San Francisco","California","United States of America","Americas"
"Timothy","Venzl",2900,"Shipping","South San Francisco","California","United States of America","Americas"
"Randall","Perkins",2500,"Shipping","South San Francisco","California","United States of America","Americas"
"Sarah","Bell",4000,"Shipping","South San Francisco","California","United States of America","Americas"
"Britney","Everett",3900,"Shipping","South San Francisco","California","United States of America","Americas"
"Samuel","McLeod",3200,"Shipping","South San Francisco","California","United States of America","Americas"
"Vance","Jones",2800,"Shipping","South San Francisco","California","United States of America","Americas"
"Alana","Walsh",3100,"Shipping","South San Francisco","California","United States of America","Americas"
"Kevin","Feeney",3000,"Shipping","South San Francisco","California","United States of America","Americas"
"Donald","OConnell",2600,"Shipping","South San Francisco","California","United States of America","Americas"
"Douglas","Grant",2600,"Shipping","South San Francisco","California","United States of America","Americas"
"Jennifer","Whalen",4400,"Administration","Seattle","Washington","United States of America","Americas"
"Michael","Martinez",13000,"Marketing","Toronto","Ontario","Canada","Americas"
"Pat","Davis",6000,"Marketing","Toronto","Ontario","Canada","Americas"
"Susan","Jacobs",6500,"Human Resources","London",,"United Kingdom of Great Britain and Northern Ireland","Europe"
"Hermann","Brown",10000,"Public Relations","Munich","Bavaria","Germany","Europe"
"Shelley","Higgins",12008,"Accounting","Seattle","Washington","United States of America","Americas"
"William","Gietz",8300,"Accounting","Seattle","Washington","United States of America","Americas"
